ligand_id,Butina_clusters
1,1947.0
2,8240.0
3,2099.0
4,1115.0
5,8239.0
6,8238.0
8,8237.0
9,8236.0
10,8235.0
11,8234.0
12,234.0
13,8233.0
14,2117.0
15,2124.0
16,139.0
18,2108.0
19,8232.0
20,441.0
21,8231.0
22,2133.0
23,705.0
24,121.0
25,8230.0
26,8229.0
27,8228.0
28,718.0
29,8227.0
30,1162.0
31,2132.0
32,8226.0
33,2054.0
34,8225.0
35,8224.0
36,704.0
37,2132.0
39,8223.0
40,8222.0
41,8221.0
42,8220.0
43,8219.0
44,8218.0
45,8217.0
46,8216.0
47,33.0
48,8215.0
49,8214.0
50,1118.0
51,618.0
52,8213.0
53,8212.0
54,33.0
55,8211.0
56,8210.0
57,8209.0
58,8208.0
59,1625.0
60,8207.0
62,2103.0
63,1161.0
64,8206.0
65,8205.0
66,8204.0
67,8203.0
68,8202.0
69,33.0
70,8201.0
71,8200.0
72,2116.0
73,1482.0
74,8199.0
75,8198.0
76,8197.0
77,8196.0
78,2128.0
79,20.0
80,8195.0
81,8194.0
82,10.0
83,8193.0
84,8192.0
85,8191.0
86,8190.0
88,8189.0
90,2129.0
91,8188.0
92,1593.0
93,8187.0
94,5.0
95,8186.0
96,8185.0
97,8184.0
98,2110.0
100,8183.0
101,8182.0
103,8181.0
104,8180.0
105,1132.0
106,8179.0
108,71.0
109,2123.0
111,1158.0
112,2131.0
113,73.0
114,73.0
115,8178.0
116,8177.0
118,2119.0
119,8176.0
121,8175.0
122,13.0
123,8174.0
124,8173.0
125,465.0
126,716.0
127,397.0
128,2130.0
129,1462.0
130,8172.0
131,2129.0
134,39.0
135,8171.0
136,716.0
138,8170.0
139,211.0
140,8169.0
141,717.0
142,239.0
144,8168.0
145,8167.0
148,479.0
149,1160.0
150,1802.0
151,8166.0
152,43.0
153,8165.0
155,8164.0
157,8163.0
158,2048.0
159,1042.0
160,371.0
161,8162.0
162,716.0
163,2121.0
164,8161.0
165,2128.0
166,237.0
170,8160.0
171,1736.0
173,28.0
175,8159.0
178,8158.0
179,324.0
180,8157.0
182,25.0
184,8156.0
189,8155.0
190,8154.0
194,8153.0
195,8152.0
196,8151.0
197,8150.0
200,2127.0
201,1811.0
202,56.0
203,8149.0
204,8148.0
206,975.0
207,1677.0
208,8147.0
210,8146.0
211,8145.0
213,8144.0
215,1223.0
216,8143.0
217,325.0
218,48.0
219,1262.0
221,96.0
222,8142.0
225,8141.0
226,25.0
227,325.0
228,1762.0
229,445.0
230,26.0
231,876.0
233,8140.0
234,2104.0
236,8139.0
237,2126.0
240,2125.0
241,181.0
243,8138.0
244,8137.0
245,8136.0
246,8135.0
248,189.0
249,26.0
250,261.0
251,8134.0
253,166.0
254,166.0
256,8133.0
257,8132.0
258,2124.0
