article_pdb_id,panel_col,target_name,gene,protein_class,organ_system,is_cns,notes
1m2z,1m2z,Glucocorticoid receptor,NR3C1,Nuclear receptor,"Endocrine, immune",0,
1pbq,1pbq,NMDA receptor NR1,GRIN1,Ion channel,CNS,1,
1xoq,1xoq,Phosphodiesterase 4D,PDE4D,Enzyme,"CNS, immune",1,
2rh1,2rh1,Beta-2 adrenergic receptor,ADRB2,GPCR,"Pulmonary, CVS",0,
2vt4,2vt4,Beta-1 adrenergic receptor,ADRB1,GPCR,"CVS, GI",0,
2ydo,2ydo,Adenosine receptor A2A,ADORA2A,GPCR,"CVS, CNS",1,
2z5x,2z5x,Monoamine oxidase A,MAOA,Enzyme,"CVS, CNS",1,
3b66,3b66,Androgen receptor,AR,Nuclear receptor,Endocrine,0,
3kk6,3kk6,Cyclooxygenase-1,PTGS1,Enzyme,"GI, pulmonary, renal",0,
3ln1,3ln1,Cyclooxygenase-2,PTGS2,Enzyme,"Immune, CVS",0,
3rze,3rze,Histamine H1 receptor,HRH1,GPCR,"CVS, immune",0,
4djh,4djh,Kappa opioid receptor,OPRK1,GPCR,"GI, CNS, CVS",1,
4ey7,4ey7,Acetylcholinesterase,ACHE,Enzyme,"CVS, GI, pulmonary",0,
4iar,4iar,5-HT1B receptor,HTR1B,GPCR,"CVS, CNS",1,
4mqs,4mqs,Muscarinic acetylcholine receptor M2,CHRM2,GPCR,CVS,0,
4n6h,4n6h,Delta opioid receptor,OPRD1,GPCR,"CNS, CVS",1,
5cxv,5cxv,Muscarinic acetylcholine receptor M1,CHRM1,GPCR,"CNS, GI, CVS",1,
5i71,5i71,Serotonin transporter,SLC6A4,Transporter,"CNS, CVS",1,
5tvn,5tvn,5-HT2B receptor,HTR2B,GPCR,"CVS, pulmonary, development",0,
5u09,5u09,Cannabinoid receptor CB1,CNR1,GPCR,CNS,1,
5va1,5va1,hERG potassium channel,KCNH2,Ion channel,CVS,0,
6cm4,6cm4,Dopamine receptor D2,DRD2,GPCR,"CVS, CNS, endocrine",1,
6kpf,6kpf,Cannabinoid receptor CB2,CNR2,GPCR,Immune,0,
6kux,6kux,Alpha-2A adrenergic receptor,ADRA2A,GPCR,"CVS, CNS",1,
6lqa,6lqa,Nav1.5 sodium channel,SCN5A,Ion channel,CVS,0,
6pdj,6pdj,LCK kinase,LCK,Enzyme,Immune,0,
6x3x,6x3x,GABAA receptor alpha1,GABRA1,Ion channel,CNS,1,
6y1z,6y1z,5-HT3 receptor,HTR3A,Ion channel,"GI, endocrine",0,
7f8y,7f8y,Cholecystokinin A receptor,CCKAR,GPCR,GI,0,
7kwe,7kwe,Phosphodiesterase 3A,PDE3A,Enzyme,CVS,0,
7ljd,7ljd,Dopamine receptor D1,DRD1,GPCR,"CVS, CNS",1,
7wc9,7wc9,5-HT2A receptor,HTR2A,GPCR,"CVS, CNS",1,
7xnk,7xnk,KCNQ1 + KCNE1 channel,KCNQ1+KCNE1,Ion channel,CVS,0,
7ym8,7ym8,Alpha-1A adrenergic receptor,ADRA1A,GPCR,"CVS, GI, CNS",1,
8e9y,8e9y,Muscarinic acetylcholine receptor M3,CHRM3,GPCR,"GI, pulmonary",0,
8ef6,8ef6,Mu opioid receptor,OPRM1,GPCR,"CNS, GI, CVS",1,
8fhs,8fhs,Cav1.2 calcium channel,CACNA1C,Ion channel,CVS,0,
8pjk,8pjk,5-HT1A receptor,HTR1A,GPCR,"CNS, endocrine",1,
8st0,8st0,Acetylcholine receptor subunit alpha1/alpha4,CHRNA1/4,Ion channel,"CNS, CVS, GI, pulmonary",1,
8wty,8wty,Noradrenaline transporter,SLC6A2,Transporter,"CNS, CVS",1,
8xvk,8xvk,Endothelin receptor A,EDNRA,GPCR,"CVS, development",0,
8yn3,8yn3,Histamine H2 receptor,HRH2,GPCR,"GI, CVS",0,
9eo4,9eo4,Dopamine transporter,SLC6A3,Transporter,CNS,1,
7ryc,V1A,Vasopressin V1A receptor,AVPR1A,GPCR,"Renal, CVS",0,Homology model in article; panel column is V1A (maps to 9uwl in residue matrices).
