split_index,set,ligand_id
0,train,10
0,train,100
0,train,10005
0,train,10009
0,train,1001
0,train,10012
0,train,10014
0,train,1002
0,train,10022
0,train,10024
0,train,10032
0,train,10035
0,train,10036
0,train,10038
0,train,10040
0,train,10041
0,train,10042
0,train,10043
0,train,10044
0,train,10045
0,train,10046
0,train,10047
0,train,10048
0,train,10049
0,train,1005
0,train,10052
0,train,10054
0,train,10058
0,train,10059
0,train,1006
0,train,10061
0,train,10063
0,train,10065
0,train,10066
0,train,10069
0,train,1007
0,train,10071
0,train,10072
0,train,10073
0,train,10074
0,train,10075
0,train,10076
0,train,10077
0,train,10079
0,train,10080
0,train,10081
0,train,10083
0,train,10086
0,train,10087
0,train,10088
0,train,10089
0,train,10090
0,train,10092
0,train,10093
0,train,10095
0,train,10096
0,train,10097
0,train,10098
0,train,10099
0,train,1010
0,train,10102
0,train,10104
0,train,10106
0,train,10108
0,train,1011
0,train,10114
0,train,10115
0,train,10118
0,train,1012
0,train,10121
0,train,10125
0,train,10126
0,train,10128
0,train,10133
0,train,10134
0,train,10135
0,train,10137
0,train,10138
0,train,10139
0,train,1014
0,train,10140
0,train,10143
0,train,10144
0,train,10145
0,train,10146
0,train,10149
0,train,1015
0,train,10150
0,train,10152
0,train,10154
0,train,10155
0,train,10157
0,train,10159
0,train,1016
0,train,10160
0,train,10161
0,train,10166
0,train,10168
0,train,10170
0,train,10171
0,train,10173
0,train,10174
0,train,10176
0,train,10177
0,train,10178
0,train,10179
0,train,10180
0,train,10181
0,train,10182
0,train,10183
0,train,10184
0,train,10188
0,train,1019
0,train,10191
0,train,10193
0,train,10194
0,train,10195
0,train,10198
0,train,1020
0,train,10200
0,train,10202
0,train,10203
0,train,10204
0,train,10205
0,train,10206
0,train,10207
0,train,10208
0,train,10209
0,train,1021
0,train,10211
0,train,10212
0,train,10217
0,train,10219
0,train,10223
0,train,10227
0,train,10229
0,train,1023
0,train,10231
0,train,10233
0,train,10235
0,train,10236
0,train,10237
0,train,10238
0,train,10239
0,train,10240
0,train,10241
0,train,10242
0,train,10247
0,train,10249
0,train,1025
0,train,10250
0,train,10252
0,train,10253
0,train,10254
0,train,10255
0,train,10257
0,train,10258
0,train,10259
0,train,1026
0,train,10260
0,train,10261
0,train,10262
0,train,10263
0,train,10264
0,train,10267
0,train,1027
0,train,10271
0,train,10273
0,train,10277
0,train,10279
0,train,10280
0,train,10281
0,train,10282
0,train,10283
0,train,10284
0,train,10285
0,train,10286
0,train,10287
0,train,10289
0,train,1029
0,train,10290
0,train,10291
0,train,10292
0,train,10293
0,train,10299
0,train,103
0,train,1030
0,train,10300
0,train,10301
0,train,10302
0,train,10305
0,train,10308
0,train,1031
0,train,10312
0,train,10313
0,train,10315
0,train,10318
0,train,10319
0,train,1032
0,train,10320
0,train,10321
0,train,10322
0,train,10324
0,train,10325
0,train,10326
0,train,10328
0,train,1033
0,train,10330
0,train,10331
0,train,10332
0,train,10334
0,train,10339
0,train,1034
0,train,10342
0,train,10344
0,train,10347
0,train,1035
0,train,10351
0,train,10352
0,train,1036
0,train,10360
0,train,10365
0,train,10366
0,train,10367
0,train,10368
0,train,10369
0,train,1037
0,train,10370
0,train,10372
0,train,10375
0,train,10379
0,train,1038
0,train,10380
0,train,10381
0,train,10382
0,train,10384
0,train,10385
0,train,10386
0,train,1039
0,train,10392
0,train,10393
0,train,10394
