Butina_clusters,cluster_size,cluster_center_ligand_id
1,42,9883
2,42,424
3,28,3325
4,26,9521
5,23,6593
6,23,10282
7,23,94
8,22,14353
9,22,659
10,21,9276
11,21,298
12,20,5901
13,19,14928
14,19,2849
15,18,4231
16,19,122
17,18,738
18,18,790
19,18,182
20,5,10281
21,17,6650
22,17,6750
23,17,4426
24,3,3357
25,15,79
26,17,272
27,5,173
28,16,8095
29,16,7989
30,11,5856
31,16,47
32,15,4992
33,15,9213
34,10,854
35,6,134
36,15,8240
37,15,5104
38,14,4427
39,15,230
40,14,152
41,14,1859
42,14,2269
43,12,1166
44,14,9938
45,14,293
46,3,10284
47,13,763
48,13,7597
49,1,9566
50,5,8242
51,13,6382
52,13,395
53,9,202
54,12,2102
55,12,13622
56,6,13455
57,12,6312
58,12,10252
59,12,280
60,11,6118
61,12,5678
62,12,2559
63,12,3316
64,12,3064
65,5,3590
66,12,2895
67,12,1189
68,12,218
69,11,5161
70,11,108
71,11,3056
72,1,15586
73,9,13355
74,4,9901
75,11,8855
76,5,7993
77,11,6074
78,8,5394
79,6,3156
80,10,11325
81,10,4641
82,10,2860
83,10,274
84,10,14647
85,10,4002
86,7,13625
87,4,13143
88,10,12629
89,8,10685
90,10,1903
91,10,5625
92,2,7285
93,9,6220
94,10,5929
95,10,789
96,10,482
97,9,463
98,9,279
99,9,3172
100,9,2161
101,9,113
102,9,2919
103,9,12480
104,9,12182
105,9,1671
106,1,9457
107,9,9261
108,5,7288
109,2,6916
110,5,6226
111,1,5853
112,9,638
113,7,5680
114,5,5115
115,3,4649
116,9,4597
117,9,4005
118,9,1868
119,9,24
120,8,2082
121,8,4174
122,8,608
123,3,14939
124,8,11339
125,8,12000
126,3,12019
127,2,13633
128,8,2926
129,4,12634
130,8,12117
131,7,4438
132,8,5284
133,3,5348
134,1,8331
135,6,340
136,5,6765
137,2,6761
138,8,6584
139,8,1995
140,2,6456
141,2,6407
142,5,6385
143,8,6085
144,8,5623
145,8,5607
146,3,5105
147,8,5188
148,3,4672
149,8,4621
150,7,4434
151,3,4425
