input_order,ligand_id,Canonical SMILES,Butina_clusters,cluster_size,cluster_center_ligand_id
0,1,S=P(N1CC1)(N1CC1)N1CC1,1905,2,1
1,2,CN(C)C(=N)N=C(N)N,8195,1,2
2,3,O=C(O)C=Cc1ccccc1,2055,2,3
3,4,Cc1ccc(C(C)C)cc1O,1094,3,4
4,5,C=CCSS(=O)CC=C,8194,1,5
5,6,COc1ccc(C(C)=O)c(O)c1,8193,1,6
6,8,COc1cc2ccc(=O)oc2cc1O,8192,1,8
7,9,COc1cc(C=CC(=O)O)ccc1O,8191,1,9
8,10,C=CC1(C)CCC(C(=C)C)CC1C(=C)C,8190,1,10
9,11,COc1cc2ccc(=O)oc2c(OC)c1O,8189,1,11
10,12,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,2085,1,12
11,13,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,8188,1,13
12,14,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,2073,2,14
13,15,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,2078,2,15
14,16,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,237,6,16
15,18,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,2063,2,18
16,19,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,8187,1,19
17,20,CC(=O)OC1C(c2ccc(=O)oc2)C2(C)CCC3C(CCC4(O)CC(O)CCC34C)C23OC13,444,5,20
18,21,CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(CO)C(O)C(O)C1O,8186,1,21
19,22,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C23)C14,2084,1,22
20,23,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,686,4,23
21,24,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,119,9,24
22,25,CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,8185,1,25
23,26,CNC(C)C1C(O)CC2(C)C3CCC4C(C)(C)C(NC)CCC45CC35CCC12C,8184,1,26
24,27,CC1C(C)C(O)(CO)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,8183,1,27
25,28,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2,699,4,28
26,29,CN1Cc2c(ccc3c2OCO3)C2C(O)Cc3cc4c(cc3C21)OCO4,8182,1,29
27,30,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(O)CO)C23,951,3,30
28,31,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,8181,1,31
29,32,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,8180,1,32
30,33,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,2009,2,33
31,34,CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,8179,1,34
32,35,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,8178,1,35
33,36,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,1142,1,36
34,37,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,8177,1,37
35,39,CC1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23,8176,1,39
36,40,C=CC12CN(C)C3C4COC(CC41)C1(C(=O)Nc4ccccc41)C32,8175,1,40
37,41,O=C(CC1NCCCC1O)Cn1cnc2ccccc2c1=O,8174,1,41
38,42,OC1C=C2CCN3Cc4cc5c(cc4C(C1O)C23)OCO5,8173,1,42
39,43,O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,8172,1,43
40,44,CC(C)C(O)(C(=O)OCC1=CCN2CCCC12)C(C)O,8171,1,44
41,45,COC1=CC(=O)OC(C=Cc2ccc3c(c2)OCO3)C1,8170,1,45
42,46,C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(O)C12,8169,1,46
43,47,CCCCCCCCCCCCCCCC(=O)O,31,16,47
44,48,C=CC(C)(C=Cc1ccc(O)cc1)CCC=C(C)C,8168,1,48
45,49,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,8167,1,49
46,50,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,1993,2,50
47,51,COC(=O)C1=CCCN(C)C1,600,4,51
48,52,COC1=CC(=O)OC(CCc2ccccc2)C1,8166,1,52
49,53,COC1=CC(=O)OC(C=Cc2ccccc2)C1,8165,1,53
50,54,CCCCCCCCCCCCCC(=O)O,31,16,47
51,55,O=C1C=C2C=CC3CC2(O1)C1CCCCN31,8164,1,55
52,56,CCC1C(=O)OCC1Cc1cncn1C,8163,1,56
53,57,CC1=CC(=O)c2c(O)cccc2C1=O,8162,1,57
54,58,CC1OC(C[N+](C)(C)C)CC1O,8161,1,58
55,59,O=C(O)c1cc(O)c(O)c(O)c1,1593,2,59
56,60,O=C1OC(=O)C2C3CCC(O3)C12,8160,1,60
57,62,C=CCc1ccc(O)c(OC)c1,2059,2,62
58,63,CC(=O)NC(CS)C(=O)O,1141,3,63
59,64,O=c1ccc2ccc(O)cc2o1,8159,1,64
60,65,OCC1=CCN2CCC(O)C12,8158,1,65
61,66,CC12CCC(CC1=O)C2(C)C,8157,1,66
62,67,O=C(O)c1ccccc1O,8156,1,67
63,68,c1ccc2ccccc2c1,8155,1,68
64,69,CCCCC(=O)O,31,16,47
65,70,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,8154,1,70
66,71,CCOCCO,8153,1,71
67,72,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,2072,2,72
68,73,CC(=O)SCC(C)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,1453,2,73
69,74,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,8152,1,74
70,75,NC12CC3CC(CC(C3)C1)C2,8151,1,75
71,76,CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O,8150,1,76
72,77,NCCCNCCSP(=O)(O)O,8149,1,77
73,78,NCCCCCC(=O)O,2083,2,78
74,79,CN(C)CCC=C1c2ccccc2CCc2ccccc21,25,15,79
75,80,CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,8148,1,80
76,81,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,8147,1,81
77,82,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,451,1,82
78,83,COc1ccc(C(=O)N2CCCC2=O)cc1,8146,1,83
79,84,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C,8145,1,84
80,85,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,8144,1,85
