split_index,seed,n_molecules,n_clusters,split_signature_sha256,shared_clusters_train_val,shared_clusters_train_test,shared_clusters_val_test,n_train,n_clusters_train,n_val,n_clusters_val,n_test,n_clusters_test
0,42,12650,8195,3b3dce44c461e4c358396c1c6fae40e361ec95d86af58647bac98ce5d4b99178,0,0,0,8038,5244,2079,1312,2533,1639
1,43,12650,8195,1fa8f5a08bc2d51a18f45edc84d5ef90b331156589186bc9ca2e2e6619756bb4,0,0,0,8125,5244,1956,1312,2569,1639
2,44,12650,8195,fa1e841a98bf5225b4d893cf5a854c283134f2376c7bd5690e8568fc0f04a60f,0,0,0,8162,5244,1997,1312,2491,1639
3,45,12650,8195,6feab01d61bd04e05f681b50ca0509bdbb1a29d382e5d6e7283e2e5e1acf8301,0,0,0,7954,5244,2082,1312,2614,1639
4,46,12650,8195,50c69824530bbe835eca35e7d0894f8e2768f95f7c9ffefd528343266ac3690a,0,0,0,8251,5244,1957,1312,2442,1639
5,47,12650,8195,5deee6a095ea2b4143237d25c5ede92de04174e82bef80029b605a962c3fdfee,0,0,0,7964,5244,2113,1312,2573,1639
6,48,12650,8195,b38354917a9dd537e05246cb9a4c34170164d239d162d7ee82f446e16d7cebae,0,0,0,8194,5244,1997,1312,2459,1639
7,49,12650,8195,9b222c2873ff3573c79a97bc03bf5dee66f8e60265cd25f7e8f073897467ae97,0,0,0,7928,5244,2117,1312,2605,1639
8,50,12650,8195,bdc8bb4d9d901ea0402a384ffe7da4a9ac3c6cb499092326ac106dfddcb53eda,0,0,0,8166,5244,2024,1312,2460,1639
9,51,12650,8195,25c654e26bb4c73c1c509282baf1d6fda3fea711785a4692624b3077daac006d,0,0,0,8039,5244,2093,1312,2518,1639
10,52,12650,8195,bb07b3641c87678b6add398adfd3b440b7c9785ad087971d07b7800b32104c90,0,0,0,8172,5244,1997,1312,2481,1639
11,53,12650,8195,75afb36140a80e07e51eb3b982f8dd84f8a6aec78d027864568ff8a7e40a52be,0,0,0,8085,5244,2042,1312,2523,1639
12,54,12650,8195,9bef52ee3f911f1515fb25d60e62e7ab985dc97e8572ac1051105a4aa103cd44,0,0,0,7980,5244,2155,1312,2515,1639
13,55,12650,8195,df6bbe7d4fd9a0fe9cfe5063337251d14b30c2976e646bbd819982a3111b6173,0,0,0,8173,5244,1913,1312,2564,1639
14,56,12650,8195,5382dbc19c334d8d759f47530f63dce8b953026b287b1962e05166b0b92ef361,0,0,0,8255,5244,1948,1312,2447,1639
15,57,12650,8195,90d334252e1e36b8a8fd99ee6f6cbe33938cbcb52ff85c547c1b7747989f7935,0,0,0,8064,5244,2066,1312,2520,1639
16,58,12650,8195,2e4c2e3fbb295b8e2d5f03a703423f5682dd2f0545d192ec43761c429a7af5dc,0,0,0,8002,5244,1981,1312,2667,1639
17,59,12650,8195,de4f70e904945adb68d2cfeb8de4e9bf656c02f9d35da16732255b1693ad6518,0,0,0,8143,5244,2031,1312,2476,1639
18,60,12650,8195,309e57cc2fbc1fc31b42d5a58d94068b5a101830b5deb161c8e55fda38b89893,0,0,0,8249,5244,1988,1312,2413,1639
19,61,12650,8195,19d69c7a3d6bce1d5b3e2bbd4cf215fb2bf563b9ad32efb8a7d8114c7406315a,0,0,0,8076,5244,2018,1312,2556,1639
20,62,12650,8195,b1968becf97691e4647dd8f541ce74042dd3d0445426501dd98941352ecc0d3a,0,0,0,8135,5244,2018,1312,2497,1639
21,63,12650,8195,a4a93ddb5bd9929984ea9da8393a77b5beb02cc58459511af891443d5bddbc11,0,0,0,8005,5244,2059,1312,2586,1639
22,64,12650,8195,9d46bd74e808da6662132dfdd512ade903539ebb4e52fc9a6c848dd65cb6ad7b,0,0,0,7924,5244,2091,1312,2635,1639
23,65,12650,8195,2e896366843483838a70a62158d5bfcf10735d9160e421913d8d6d2d4161747c,0,0,0,8101,5244,1985,1312,2564,1639
24,66,12650,8195,853a8a1f72c2ee436a5b5d5a63801765082d448978def37cdaee6ae3429aa18f,0,0,0,8134,5244,2017,1312,2499,1639
25,67,12650,8195,c77c96e3719d6505088c5580c488361bfd305c242a004a9943ff416d4b4fe724,0,0,0,8055,5244,2073,1312,2522,1639
26,68,12650,8195,5c87912c6500071e399923e923161ecef9b35fb8e66006510fef31bec9397a7a,0,0,0,8220,5244,1938,1312,2492,1639
27,69,12650,8195,fd76b093a14e5070d3d20f3562d1d454370bbe9905a7699e30f2472c59ab8f08,0,0,0,8054,5244,2075,1312,2521,1639
28,70,12650,8195,27019fe853bb29dc5bcf1c9e916acf62391bc588374e2cfe4d962652150e432e,0,0,0,8052,5244,2030,1312,2568,1639
29,71,12650,8195,0eb3b4c0ef560a679f7a34f25d55251e664ecde85d17a3205e7e750a0dfb9b99,0,0,0,8143,5244,2011,1312,2496,1639
