metric,n_splits,mean,sample_sd,p5,median,p95,minimum,maximum
n_model_train,30,8094.766666666666,95.83883142649123,7939.7,8093.0,8250.1,7924.0,8255.0
n_calibration,30,2028.3666666666666,58.41202245955957,1942.5,2021.0,2115.2,1913.0,2155.0
n_test,30,2526.866666666667,59.75278572835622,2444.25,2520.5,2625.5499999999997,2413.0,2667.0
plain_test_rmse,30,0.5328666742726531,0.018047666611029047,0.5126738001406064,0.5324941675772147,0.5590383940337944,0.4883670568655289,0.5777086093831367
plain_test_mae,30,0.37011316332636035,0.00957449016653473,0.35470582383077104,0.3705740892274522,0.3860452666912294,0.3441929455934242,0.3909110873033654
plain_test_mse,30,0.2842617535448306,0.0193126266631055,0.26284901482195183,0.2835500522771582,0.31252710276532164,0.23850238223149875,0.33374723735539763
plain_test_r2,30,0.4702392437848605,0.02281417147415321,0.4418733157384689,0.4691500908061409,0.5092585489888605,0.40596868083283155,0.5143476104139482
plain_test_spearman,30,0.6768185538957386,0.014465480350641333,0.6523396283845437,0.6800844590752487,0.692232520176997,0.6452447207389905,0.7087223028358586
plain_test_ccc,30,0.6214712939761795,0.019109594838687585,0.5966792578121247,0.6194751457186498,0.6543817063977038,0.5666683256960635,0.6569582919436987
global_test_coverage,30,0.8993529354850122,0.011809865349219822,0.8842693716459088,0.8991550226557029,0.9222297828949481,0.8755519871537535,0.9317073170731708
local_test_coverage,30,0.8920306556006848,0.01040784439852717,0.8790828808506642,0.8918490581907923,0.9091555296546037,0.8643115214773184,0.9215447154471544
global_interval_width,30,1.6206109781620175,0.06337235247622419,1.5373347613936723,1.6106126145602255,1.735898662675604,1.5235430759951267,1.7594960644918167
local_test_mean_width,30,1.534640077784226,0.05050973115929648,1.4614312380385526,1.5334206049905035,1.6214962243308224,1.4543571350031292,1.641113884893334
local_test_median_width,30,1.537427749846131,0.06804294493920013,1.433405976844096,1.53748898157912,1.6562413259430455,1.4021972714018602,1.691434601642145
local_test_width_p10,30,1.1712674682796307,0.06526093998722847,1.0637387703978667,1.1672184783798731,1.2621344724124581,1.0261098199790186,1.2739999755839193
local_test_width_p90,30,1.8827297581175808,0.07887506230209283,1.757669682301345,1.9034312190686742,1.9808722903758043,1.740788767649586,2.0338718903377577
local_width_below_global_fraction,30,0.6166694514996391,0.06177507528410732,0.5031878557752373,0.615371352761872,0.6898579590875719,0.4889157597742846,0.7067977067977068
fallback_fraction,30,0.010636547336161916,0.004816977956012315,0.005020758615829591,0.008963372553593732,0.018506169093997937,0.0043616177636796195,0.02584493041749503
map_min_width,30,1.1352277754580276,0.06778424052289794,1.0031916165711678,1.1357307316694403,1.2327816608631839,0.970341814590214,1.2420534514974777
map_max_width,30,2.1226503401418326,0.1565301228166319,1.9042626785441914,2.101673233793802,2.3571917208823403,1.881284914142709,2.527425569968479
map_width_p10,30,1.270197271768415,0.04808672830141182,1.1936373257235737,1.2700052545856377,1.3271746448514723,1.1603524925502684,1.3754306156698686
map_width_p90,30,1.9412480513147503,0.10558144372748691,1.7930776754217965,1.9441981766812968,2.120400779295966,1.7648146983521098,2.222965129820551
