sensitivity_family,varied_value,h_conformal_4d,neff_min_conformal,n_test,covered_count,empirical_coverage,wilson95_low,wilson95_high,fallback_count,fallback_fraction,fallback_cluster_count,mean_interval_width,median_interval_width,width_p10,width_p90,is_reference_setting
fallback_threshold,40.0,0.9,40,2533,2260,0.8922226608764311,0.8795470543979467,0.9037104066038535,4,0.0015791551519936833,4,1.5154998522347112,1.5185550321594645,1.2092784498491262,1.8131798015724288,False
fallback_threshold,60.0,0.9,60,2533,2260,0.8922226608764311,0.8795470543979467,0.9037104066038535,8,0.0031583103039873666,8,1.5151519916732545,1.5185550321594645,1.2092784498491262,1.8131798015724288,False
fallback_threshold,80.0,0.9,80,2533,2259,0.8918278720884327,0.8791335104081035,0.9033355686500614,14,0.005527043031977891,14,1.51476714972314,1.5185550321594645,1.2092784498491262,1.8131798015724288,True
fallback_threshold,100.0,0.9,100,2533,2257,0.8910382945124359,0.8783065732216997,0.9025857419491944,32,0.012633241215949467,28,1.5125470304082973,1.5185550321594645,1.2092784498491262,1.8129568521977868,False
fallback_threshold,120.0,0.9,120,2533,2257,0.8910382945124359,0.8783065732216997,0.9025857419491944,57,0.02250296091590999,46,1.5102582984324655,1.5185550321594645,1.2092784498491262,1.7955469042802692,False
local_bandwidth,0.6,0.6,80,2533,2254,0.8898539281484406,0.8770665408549926,0.9014606284849951,320,0.12633241215949467,262,1.4929459425769707,1.520911130607396,1.151560220388478,1.8273954780683273,False
local_bandwidth,0.75,0.75,80,2533,2258,0.8914330833004342,0.8787200167627386,0.9029606803517908,82,0.03237268061587051,70,1.5125136272627433,1.5185550321594645,1.1773113619850435,1.8298969028302885,False
local_bandwidth,0.9,0.9,80,2533,2259,0.8918278720884327,0.8791335104081035,0.9033355686500614,14,0.005527043031977891,14,1.51476714972314,1.5185550321594645,1.2092784498491262,1.8131798015724288,True
local_bandwidth,1.05,1.05,80,2533,2257,0.8910382945124359,0.8783065732216997,0.9025857419491944,4,0.0015791551519936833,4,1.512924280681436,1.5141167304028107,1.2366673857665216,1.7725456274875482,False
local_bandwidth,1.2,1.2,80,2533,2255,0.890248716936439,0.8774798355026759,0.9018357157809472,1,0.00039478878799842083,1,1.5124759473471483,1.5141167304028107,1.2581840168578724,1.7478517469370822,False
