model,group,mean_abs_grouped_shap,n_features
Baseline,Fingerprints,0.26748177469014967,2048
Baseline,Proteins,0.09039095481322533,44
Baseline,PhysChem,0.18478815106368224,2
Baseline,ADME,,0
PCA,Fingerprints,0.2720412863083263,2048
PCA,Proteins,0.03452364908964512,3
PCA,PhysChem,0.2279086077879964,2
PCA,ADME,,0
ADME,Fingerprints,0.09014224416868127,2048
ADME,Proteins,0.04780803093240395,44
ADME,PhysChem,0.13951677156120953,2
ADME,ADME,0.24620708198223262,68
Plain,Fingerprints,0.26601824703079,2048
Plain,Proteins,,0
Plain,PhysChem,0.23753687820672895,2
Plain,ADME,,0
BBB pass,Fingerprints,0.2212296064470576,2048
BBB pass,Proteins,0.06816917148606388,44
BBB pass,PhysChem,0.15614281745904257,2
BBB pass,ADME,,0
