split_index,seed,plain_bbb_test_n,bbb_pass_test_n,same_test_ids
0,42,1698,1698,True
1,43,1765,1765,True
2,44,1695,1695,True
3,45,1756,1756,True
4,46,1646,1646,True
5,47,1781,1781,True
6,48,1690,1690,True
7,49,1711,1711,True
8,50,1728,1728,True
9,51,1720,1720,True
10,52,1735,1735,True
11,53,1736,1736,True
12,54,1729,1729,True
13,55,1697,1697,True
14,56,1658,1658,True
15,57,1695,1695,True
16,58,1792,1792,True
17,59,1666,1666,True
18,60,1646,1646,True
19,61,1768,1768,True
20,62,1700,1700,True
21,63,1732,1732,True
22,64,1759,1759,True
23,65,1762,1762,True
24,66,1671,1671,True
25,67,1691,1691,True
26,68,1725,1725,True
27,69,1749,1749,True
28,70,1791,1791,True
29,71,1645,1645,True
