model,evaluation_domain,n_train,n_calibration,n_test,n_features,model_file,RMSE,MAE,MSE,R2,Spearman,CCC,CI_0.80_size,CI_0.80_coverage,CI_0.90_size,CI_0.90_coverage,CI_0.95_size,CI_0.95_coverage,split_index,seed
ADME,full_test,8038,2079,2533,2161,results/models/split_00/adme/model.cbm,0.5146557004330853,0.35759383154910884,0.26487048998826956,0.5171992103364078,0.7083526055351489,0.6751685613069267,1.0848759131875625,0.8014212396367943,1.5183092487974834,0.8914330833004342,2.079042356670519,0.9470983024082116,0,42
BBB pass,bbb_pass_test,5486,1419,1698,2093,results/models/split_00/bbb_pass/model.cbm,0.4654485904715681,0.3305171425776955,0.21664239037196953,0.4308378996339778,0.6516414156248653,0.6015648363846151,0.9889014270752038,0.7885747938751473,1.4184066151292611,0.8934040047114252,1.9577668775900479,0.9534746760895171,0,42
Baseline,full_test,8038,2079,2533,2093,results/models/split_00/baseline/model.cbm,0.5113934686089855,0.3619078946068982,0.2615232797359294,0.5233004402358635,0.6980450487105626,0.6896198251249233,1.1177783654077444,0.8093170153967627,1.5813587441521053,0.897749703908409,2.1680633687699107,0.9498618239242006,0,42
PCA,full_test,8038,2079,2533,2053,results/models/split_00/pca/model.cbm,0.512280902369623,0.3579789405210938,0.2624317229326352,0.5216445476041343,0.6973446252250377,0.6852971405492274,1.0870156676585,0.7994472956968022,1.5827135613534056,0.9020923805763916,2.2119049648675513,0.9573628108961706,0,42
Plain,bbb_pass_test,8038,2079,1698,2050,results/models/split_00/plain/model.cbm,0.4546536219099687,0.3198978719436524,0.2067099159158528,0.45693246041485214,0.6681958932785752,0.6234799653999442,1.094314653679609,0.833922261484099,1.5357835633835142,0.9181389870435807,2.1898044870814877,0.9734982332155477,0,42
Plain,full_test,8038,2079,2533,2050,results/models/split_00/plain/model.cbm,0.5037263188423025,0.35115581517450994,0.2537402042944169,0.5374872791296186,0.7082238243563743,0.6938072175186215,1.094314653679609,0.8073430714567706,1.5357835633835144,0.9005132254243979,2.189804487081488,0.9581523884721674,0,42
ADME,full_test,8125,1956,2569,2161,results/models/split_01/adme/model.cbm,0.5072567818783231,0.35305580906494716,0.2573094427615527,0.5316335402416362,0.7223657935644916,0.6823873958062544,1.0298625392055687,0.7921370182950564,1.5554567258794691,0.9081354612689763,2.1138626074178846,0.9505644219540678,1,43
BBB pass,bbb_pass_test,5479,1359,1765,2093,results/models/split_01/bbb_pass/model.cbm,0.4736358492536716,0.3384839315161633,0.22433091769824673,0.41588391247184375,0.6442171356349926,0.598445625191026,0.9970469902416573,0.7943342776203967,1.4259141687754566,0.8940509915014164,1.9167889556081477,0.9512747875354107,1,43
Baseline,full_test,8125,1956,2569,2093,results/models/split_01/baseline/model.cbm,0.5237773546051875,0.36613819376262996,0.27434271719720826,0.5006287921845911,0.7005476045090924,0.6720352921610776,1.0758493433718392,0.7909692487349164,1.566759329912415,0.8945114830673414,2.098684711738828,0.9458933437135072,1,43
PCA,full_test,8125,1956,2569,2053,results/models/split_01/pca/model.cbm,0.5276740302374995,0.36458029425807315,0.2784398821870855,0.49317094438561615,0.7036577707073908,0.6645888808874983,1.0806493283818686,0.8018684312962242,1.5752929577150683,0.8980147917477618,2.1478372842132814,0.9517321915142078,1,43
Plain,bbb_pass_test,8125,1956,1765,2050,results/models/split_01/plain/model.cbm,0.45979641479002603,0.32408103481610934,0.21141274305376168,0.44952044241949884,0.6791519844365549,0.6251268388058457,1.0264010045182443,0.8135977337110482,1.5249871184485106,0.920113314447592,2.048554711850447,0.9597733711048159,1,43
Plain,full_test,8125,1956,2569,2050,results/models/split_01/plain/model.cbm,0.5277354116297024,0.36099746883262795,0.27850466468797147,0.4930530243035989,0.712215688436565,0.6597830878207142,1.0264010045182446,0.7878551965745426,1.5249871184485102,0.897625535227715,2.0485547118504472,0.9439470611132736,1,43
ADME,full_test,8162,1997,2491,2161,results/models/split_02/adme/model.cbm,0.5558623630777175,0.3754579781806396,0.3089829666863443,0.48385012642505854,0.69511029775337,0.6436782190557264,1.019985346055151,0.7703733440385387,1.4833410721209521,0.8731433159373746,2.010776773147779,0.9309514251304697,2,44
BBB pass,bbb_pass_test,5527,1381,1695,2093,results/models/split_02/bbb_pass/model.cbm,0.4962351802116931,0.34507544660143835,0.24624935407973153,0.4332788631800737,0.6488982410021984,0.5993703674014218,0.8966554024614383,0.7469026548672566,1.2479109957206937,0.8371681415929203,1.7520000937741715,0.9156342182890855,2,44
Baseline,full_test,8162,1997,2491,2093,results/models/split_02/baseline/model.cbm,0.5727021784603857,0.38734213039094567,0.32798778521327154,0.4521029567179793,0.6735448618528075,0.6229999543459341,1.0432936034057985,0.7707747892412685,1.521900108300471,0.8643115214773184,2.0723934211924226,0.9269369731031715,2,44
PCA,full_test,8162,1997,2491,2053,results/models/split_02/pca/model.cbm,0.5603739285985915,0.3792842394414092,0.31401893985301926,0.4754376338492309,0.6868377673582786,0.6428364749535864,1.0010806993453463,0.755921316740265,1.4558856040215051,0.8631071858691288,1.9841403144052834,0.9281413087113609,2,44
Plain,bbb_pass_test,8162,1997,1695,2050,results/models/split_02/plain/model.cbm,0.48183322753269253,0.3411824841497685,0.23216325915457145,0.4656967664033056,0.6627367562319885,0.6332951682440309,1.0042175430492313,0.7911504424778761,1.4916233605330065,0.8938053097345132,2.0543162639916606,0.9551622418879055,2,44
Plain,full_test,8162,1997,2491,2050,results/models/split_02/plain/model.cbm,0.5532306797772332,0.37703835284507836,0.30606418504677946,0.4887258928480781,0.6958983512432119,0.648039474434397,1.004217543049231,0.7659574468085106,1.491623360533007,0.8691288639100763,2.05431626399166,0.9345644319550381,2,44
ADME,full_test,7954,2082,2614,2161,results/models/split_03/adme/model.cbm,0.5072029680610536,0.35032949801546603,0.25725485080994215,0.4929562990765778,0.6959085747212994,0.6504837848629507,1.102715042151642,0.8190512624330528,1.5740508923976222,0.8986228003060444,2.214384387736101,0.9590665646518746,3,45
BBB pass,bbb_pass_test,5433,1414,1756,2093,results/models/split_03/bbb_pass/model.cbm,0.4668826104345794,0.3279171628603089,0.21797937192620725,0.4169636876851518,0.63842441355253,0.5860228585450236,1.0460660431346007,0.8228929384965832,1.4360562373137642,0.9083143507972665,1.9024517770727587,0.9510250569476082,3,45
Baseline,full_test,7954,2082,2614,2093,results/models/split_03/baseline/model.cbm,0.517391060299791,0.3643822090946756,0.267693509278142,0.47238193087427705,0.6677294347654671,0.6392839499974617,1.1556781787584036,0.8098699311400153,1.6233294248440795,0.9043611323641928,2.218498718289028,0.9514154552410099,3,45
PCA,full_test,7954,2082,2614,2053,results/models/split_03/pca/model.cbm,0.5157131249637253,0.3606116340751972,0.265960027259851,0.4757985861298385,0.6719700637749206,0.6446983248404405,1.1593643372127602,0.8140780413159908,1.6420370025514464,0.9024483550114767,2.207568965225867,0.954858454475899,3,45
Plain,bbb_pass_test,7954,2082,1756,2050,results/models/split_03/plain/model.cbm,0.4572975393789195,0.32099513229481424,0.2091210395220144,0.4406573492117487,0.6568670226194416,0.6088816824701979,1.1179652429459077,0.8530751708428246,1.5705755201104423,0.9219817767653758,2.1918748306103915,0.9681093394077449,3,45
Plain,full_test,7954,2082,2614,2050,results/models/split_03/plain/model.cbm,0.5066377763052641,0.3545606026037713,0.2566818363795428,0.49408569802302116,0.6921083749629967,0.6510459562315843,1.1179652429459075,0.8175210405508799,1.5705755201104425,0.9032134659525631,2.1918748306103915,0.9560061208875287,3,45
ADME,full_test,8251,1957,2442,2161,results/models/split_04/adme/model.cbm,0.5057061573054014,0.3500100956529038,0.25573871753659533,0.49605007858780004,0.6880537234749293,0.6544647778723176,1.0544366872741613,0.7981162981162981,1.5005624126931663,0.8947583947583948,2.0497859531483766,0.9496314496314496,4,46
BBB pass,bbb_pass_test,5601,1356,1646,2093,results/models/split_04/bbb_pass/model.cbm,0.4601428293647813,0.32389516939595997,0.2117314234158262,0.4288733129565987,0.6524049091270514,0.6076348550264584,0.9898327954022816,0.7952612393681653,1.440266017422257,0.9021871202916161,1.8453072944827438,0.9459295261239368,4,46
Baseline,full_test,8251,1957,2442,2093,results/models/split_04/baseline/model.cbm,0.5266229882418696,0.36662675875499334,0.2773317717447963,0.45349954859339237,0.663273954402458,0.6297015346108276,1.0837927654055157,0.7825552825552825,1.577181092021345,0.8865683865683865,2.002151066275866,0.9344799344799345,4,46
PCA,full_test,8251,1957,2442,2053,results/models/split_04/pca/model.cbm,0.5110430301240925,0.35909557519705915,0.2611649786384141,0.48535727508051585,0.6749128762791992,0.6514619149680679,1.1113799416387709,0.8034398034398035,1.569231751355626,0.8972153972153972,2.0184847646920936,0.9406224406224406,4,46
Plain,bbb_pass_test,8251,1957,1646,2050,results/models/split_04/plain/model.cbm,0.43826314101219677,0.31399648234420063,0.19207458076987668,0.4818958980646505,0.6762476491736603,0.6445801186169882,1.085559053361763,0.8341433778857837,1.5196288273316445,0.9210206561360875,2.0338045682961083,0.9665856622114216,4,46
Plain,full_test,8251,1957,2442,2050,results/models/split_04/plain/model.cbm,0.5077130683490692,0.3539047505592102,0.2577725597724266,0.4920422590257686,0.6857452671587395,0.6518680492756996,1.085559053361763,0.7993447993447993,1.5196288273316447,0.8918918918918919,2.0338045682961083,0.943079443079443,4,46
ADME,full_test,7964,2113,2573,2161,results/models/split_05/adme/model.cbm,0.537105908209007,0.3692592701155737,0.28848275663302225,0.5002380294661899,0.7089119828160513,0.6547056976408576,1.0387334918030653,0.7842984842596191,1.438469101075862,0.8849591916051301,1.9372430268945677,0.9358725223474543,5,47
BBB pass,bbb_pass_test,5431,1391,1781,2093,results/models/split_05/bbb_pass/model.cbm,0.4627412941447935,0.3311465327989996,0.21412950530679828,0.4540893108782128,0.6775078895469916,0.6103498243146553,0.984715772841578,0.7905670971364402,1.3791632767753883,0.8978102189781022,1.747672347202416,0.9371139809096013,5,47
Baseline,full_test,7964,2113,2573,2093,results/models/split_05/baseline/model.cbm,0.5452256504269938,0.375427598150946,0.2972710098835384,0.48501342882354137,0.6832254557092817,0.6478101442916085,1.0834737313379457,0.779246016323358,1.550162424632891,0.8892343567819666,2.0662300647082574,0.9444228527011271,5,47
PCA,full_test,7964,2113,2573,2053,results/models/split_05/pca/model.cbm,0.5495753998562289,0.3763717789281974,0.3020331201271339,0.47676364077029565,0.6903580804219377,0.642995207186297,1.051906559331889,0.7765254566653712,1.4605879491882607,0.8729109988340459,2.0150754567575753,0.9339292654488923,5,47
Plain,bbb_pass_test,7964,2113,1781,2050,results/models/split_05/plain/model.cbm,0.4482830024088217,0.3255997161730343,0.20095765024866763,0.487670187373929,0.6794534832534753,0.6485199873283595,1.0266077126609865,0.7995508141493542,1.5045617411681778,0.9174620999438517,2.0656015724467167,0.9668725435148793,5,47
Plain,full_test,7964,2113,2573,2050,results/models/split_05/plain/model.cbm,0.5377081686144364,0.37086064775820565,0.2891300745946911,0.49911662829871184,0.7034486797730785,0.6537445768461534,1.0266077126609865,0.7656432180334241,1.5045617411681775,0.8900116595413914,2.0656015724467167,0.9440342013214147,5,47
ADME,full_test,8194,1997,2459,2161,results/models/split_06/adme/model.cbm,0.5009538869454919,0.3503293087610434,0.2509547968457967,0.513279019925178,0.6760801151987684,0.6701794020464641,1.0209638092884896,0.7905652704351362,1.458064947357208,0.884505896705978,2.0313120724121436,0.9467263115087434,6,48
BBB pass,bbb_pass_test,5602,1311,1690,2093,results/models/split_06/bbb_pass/model.cbm,0.44818940203955604,0.31281104260508985,0.2008737401005748,0.4335654169956409,0.6500207726132269,0.6123929620162518,0.9189748904528685,0.7869822485207101,1.2893648111763838,0.8852071005917159,1.7651367365677315,0.9491124260355029,6,48
Baseline,full_test,8194,1997,2459,2093,results/models/split_06/baseline/model.cbm,0.5229723117884323,0.3613859600711474,0.27350003889733726,0.46955304837464185,0.676108471246077,0.6450152196043786,1.0634274633297556,0.7897519316795445,1.598375912819833,0.904026026840179,2.1831683392810097,0.9528263521756811,6,48
PCA,full_test,8194,1997,2459,2053,results/models/split_06/pca/model.cbm,0.5169843384125885,0.3616377860571035,0.2672728061639018,0.4816306211378121,0.6701186147885104,0.6578041878174775,1.072547106735996,0.7925986173241155,1.5205245102002545,0.89019926799512,2.039767039077327,0.94509963399756,6,48
Plain,bbb_pass_test,8194,1997,1690,2050,results/models/split_06/plain/model.cbm,0.44834444908908877,0.3133479790301108,0.20101274502899852,0.43317344341747277,0.6545343093803485,0.6163013139304047,1.0164066187743792,0.823076923076923,1.5061936407020013,0.919526627218935,2.092241348445809,0.9710059171597634,6,48
Plain,full_test,8194,1997,2459,2050,results/models/split_06/plain/model.cbm,0.5084004406435991,0.35277134795126514,0.2584710080466058,0.49870150346369735,0.6842608759118307,0.6637939602904894,1.0164066187743792,0.782838552257015,1.5061936407020013,0.893045953639691,2.0922413484458087,0.9536396909312729,6,48
ADME,full_test,7928,2117,2605,2161,results/models/split_07/adme/model.cbm,0.529648888214636,0.3630654399881429,0.28052794478699994,0.5186735916936231,0.7109640550598214,0.6635655904031289,1.091709294027556,0.8076775431861805,1.536047673934327,0.8928982725527831,2.0911185530916363,0.9474088291746641,7,49
