scope,split_index,seed,query_set,reference_set,n_queries,median,p90,p95,p99,maximum,fraction_ge_0.70,fraction_ge_0.80,fraction_ge_0.90
per_split,0,42,test,train,2533,0.5333333333333333,0.6486486486486487,0.7242386316228622,0.8378378378378378,0.9767441860465116,0.06553493880773786,0.02368732727990525,0.0011843663639952626
per_split,0,42,test,val,2533,0.4166666666666667,0.6,0.6412191582002903,0.7831547911547908,0.9696969696969697,0.02368732727990525,0.007895775759968417,0.0007895775759968417
per_split,0,42,val,train,2079,0.5384615384615384,0.6842105263157895,0.75,0.849264150943396,0.9767441860465116,0.08513708513708514,0.02405002405002405,0.002886002886002886
per_split,1,43,test,train,2569,0.5405405405405406,0.6666666666666666,0.7441860465116279,0.849358490566038,0.9705882352941176,0.07862981704943557,0.03036200856364344,0.001557026080186843
per_split,1,43,test,val,2569,0.41304347826086957,0.5882352941176471,0.6277245782033744,0.7076923076923086,0.8723404255319149,0.013234721681588166,0.003114052160373686,0.0
per_split,1,43,val,train,1956,0.5348837209302325,0.6666666666666666,0.7393478260869565,0.8392199017199019,0.9772727272727273,0.07822085889570553,0.023517382413087935,0.005112474437627812
per_split,2,44,test,train,2491,0.5384615384615384,0.6666666666666666,0.7478813559322034,0.8540069686411147,0.9333333333333333,0.0762745885186672,0.028502609393817744,0.004415897230028101
per_split,2,44,test,val,2491,0.4153846153846154,0.5909090909090909,0.633739837398374,0.7455882352941172,0.8979591836734694,0.018065034122842234,0.005620232838217583,0.0
per_split,2,44,val,train,1997,0.5365853658536586,0.6976744186046512,0.7592592592592593,0.8542857142857141,0.9772727272727273,0.09814722083124687,0.031547320981472206,0.00400600901352028
per_split,3,45,test,train,2614,0.5398412698412698,0.6808510638297872,0.75,0.85,0.9767441860465116,0.08530986993114001,0.028691660290742157,0.004208110175975516
per_split,3,45,test,val,2614,0.42204861111111114,0.6026415094339632,0.64,0.7797111111111109,0.9772727272727273,0.026778882938026015,0.0076511094108645756,0.0026778882938026014
per_split,3,45,val,train,2082,0.5416666666666666,0.6875,0.7559976009596158,0.8602111111111111,0.972972972972973,0.09125840537944284,0.03266090297790586,0.0009606147934678194
per_split,4,46,test,train,2442,0.5357142857142857,0.6666666666666666,0.7419354838709677,0.8478260869565217,0.9302325581395349,0.07248157248157248,0.02661752661752662,0.000819000819000819
per_split,4,46,test,val,2442,0.42105263157894735,0.5918367346938775,0.6304347826086957,0.7172231337161608,0.9767441860465116,0.012285012285012284,0.0028665028665028664,0.000819000819000819
per_split,4,46,val,train,1957,0.5333333333333333,0.6601509433962265,0.7368421052631579,0.85,0.9767441860465116,0.07153806847215124,0.021972406745017884,0.0015329586101175269
per_split,5,47,test,train,2573,0.5357142857142857,0.6619331195602384,0.7352941176470589,0.8493207547169813,0.9375,0.07073455110765643,0.025262339681305868,0.000777302759424796
per_split,5,47,test,val,2573,0.41509433962264153,0.5907600596125188,0.625,0.7469491525423737,0.88,0.016323357947920714,0.0058297706956859695,0.0
per_split,5,47,val,train,2113,0.5434782608695652,0.6601200686106345,0.7347368421052626,0.8409090909090909,0.972972972972973,0.07477520113582584,0.024609559867486985,0.003786086133459536
per_split,6,48,test,train,2459,0.5348837209302325,0.6666666666666666,0.7541271210813919,0.8583428571428573,0.9767441860465116,0.07645384302562017,0.027653517690117934,0.0061000406669377795
per_split,6,48,test,val,2459,0.4117647058823529,0.5926787252368648,0.627906976744186,0.7240744680851066,0.8857142857142857,0.013826758845058967,0.0032533550223668157,0.0
per_split,6,48,val,train,1997,0.5434782608695652,0.6923076923076923,0.7613272311212811,0.8723404255319149,0.9772727272727273,0.09464196294441662,0.03355032548823235,0.005508262393590386
per_split,7,49,test,train,2605,0.5384615384615384,0.6744186046511628,0.7435897435897436,0.8518203309692671,0.9772727272727273,0.08253358925143954,0.026871401151631478,0.004606525911708253
per_split,7,49,test,val,2605,0.42424242424242425,0.6019047619047616,0.6428571428571429,0.7872340425531915,0.9705882352941176,0.030710172744721688,0.008445297504798464,0.0011516314779270633
per_split,7,49,val,train,2117,0.5333333333333333,0.6481481481481481,0.7167295597484276,0.8269371196754569,0.9767441860465116,0.05951818611242324,0.01747756258856873,0.0004723665564478035
per_split,8,50,test,train,2460,0.5294117647058824,0.6600714285714285,0.7401794871794862,0.8345757575757571,0.9772727272727273,0.07479674796747968,0.021544715447154472,0.0024390243902439024
per_split,8,50,test,val,2460,0.41304347826086957,0.5849056603773585,0.625,0.7490418054014045,0.8837209302325582,0.015853658536585366,0.005284552845528455,0.0
per_split,8,50,val,train,2024,0.5384615384615384,0.6666666666666666,0.7254901960784313,0.8222222222222222,0.9767441860465116,0.06818181818181818,0.016304347826086956,0.0014822134387351778
per_split,9,51,test,train,2518,0.5357142857142857,0.6727272727272727,0.7436791890280263,0.8475418060200668,0.9767441860465116,0.07466243050039714,0.024225575853852262,0.0019857029388403494
per_split,9,51,test,val,2518,0.4223787167449139,0.5949396204715356,0.6285714285714286,0.7492272727272724,0.9767441860465116,0.019857029388403495,0.006751389992057188,0.0003971405877680699
per_split,9,51,val,train,2093,0.5490196078431373,0.6832520325203252,0.7433887043189367,0.8380835380835379,0.9375,0.08361204013377926,0.024366937410415672,0.001433349259436216
per_split,10,52,test,train,2481,0.5384615384615384,0.673469387755102,0.7407407407407407,0.85,0.9767441860465116,0.07577589681580008,0.023377670294236194,0.0028214429665457475
per_split,10,52,test,val,2481,0.4090909090909091,0.5945945945945946,0.6341463414634146,0.7613272311212811,0.9767441860465116,0.017331721080209594,0.0068520757758968156,0.00040306328093510683
per_split,10,52,val,train,1997,0.5416666666666666,0.6795471698113208,0.75,0.8500425531914892,0.9375,0.08412618928392589,0.02553830746119179,0.00100150225338007
per_split,11,53,test,train,2523,0.5348837209302325,0.6519716885743176,0.7289772727272729,0.8325531914893625,0.9767441860465116,0.06619104240982956,0.020214030915576695,0.0035671819262782403
per_split,11,53,test,val,2523,0.41509433962264153,0.5952380952380952,0.6304347826086957,0.7777777777777778,0.8787878787878788,0.01823226317875545,0.0075307173999207295,0.0
per_split,11,53,val,train,2042,0.5413251366120219,0.6904761904761905,0.7630434782608692,0.8518518518518519,0.9696969696969697,0.0920666013712047,0.031341821743388835,0.0014691478942213516
per_split,12,54,test,train,2515,0.5333333333333333,0.6595744680851063,0.7241379310344828,0.8199540983606557,0.972972972972973,0.06640159045725647,0.01749502982107356,0.0011928429423459245
per_split,12,54,test,val,2515,0.42,0.5925925925925926,0.6363636363636364,0.7837780966044959,0.9705882352941176,0.024652087475149104,0.0075546719681908545,0.0011928429423459245
per_split,12,54,val,train,2155,0.5416666666666666,0.6727272727272727,0.751315789473684,0.8548739495798321,0.9767441860465116,0.08074245939675175,0.027842227378190254,0.004640371229698376
per_split,13,55,test,train,2564,0.5416666666666666,0.6768962510897999,0.75,0.8475769230769227,0.9767441860465116,0.08502340093603744,0.02847113884555382,0.0019500780031201249
per_split,13,55,test,val,2564,0.4186046511627907,0.5943412162162165,0.6332312925170067,0.7401683029453012,0.8604651162790697,0.0171606864274571,0.0035101404056162248,0.0
per_split,13,55,val,train,1913,0.525,0.6481481481481481,0.728255528255528,0.8233725490196077,0.9705882352941176,0.06377417668583377,0.017250392054364874,0.0010454783063251437
