query_set,reference_set,statistic,n_splits,mean_across_splits,std_across_splits,minimum_across_splits,maximum_across_splits
test,train,median,30,0.5369632554742854,0.003321920767517444,0.5277777777777778,0.5416666666666666
test,train,p90,30,0.6658739339431673,0.010024659371284739,0.6486486486486487,0.6923076923076923
test,train,p95,30,0.7396866810755873,0.00847233929395009,0.7241379310344828,0.7541271210813919
test,train,p99,30,0.8462036898353917,0.009617204914797417,0.8199540983606557,0.8631313131313136
test,train,maximum,30,0.9643354628101549,0.019542623034874116,0.925,0.9772727272727273
test,train,fraction_ge_0.70,30,0.07554078071476525,0.006366718655261836,0.06396255850234009,0.09171005206247497
test,train,fraction_ge_0.80,30,0.025173293255839287,0.003697741247874655,0.01749502982107356,0.03232490675507667
test,train,fraction_ge_0.90,30,0.002507029256118864,0.001440091718677077,0.0004038772213247173,0.0061000406669377795
test,val,median,30,0.41620593469314837,0.004768898676108447,0.40384615384615385,0.42424242424242425
test,val,p90,30,0.5950182720540738,0.007064692614020531,0.5833333333333334,0.6122448979591837
test,val,p95,30,0.6337334520033056,0.006187156891487233,0.625,0.6470588235294118
test,val,p99,30,0.7559409706592268,0.021196721261411526,0.7076923076923086,0.7872340425531915
test,val,maximum,30,0.9267418530058696,0.04461219317913878,0.8604651162790697,0.9772727272727273
test,val,fraction_ge_0.70,30,0.020084222600424362,0.004703938713459354,0.012285012285012284,0.030710172744721688
test,val,fraction_ge_0.80,30,0.005922844159773546,0.0016418485351366657,0.0028665028665028664,0.008607198748043818
test,val,fraction_ge_0.90,30,0.0005785801185712876,0.000741239747147981,0.0,0.0027258566978193145
val,train,median,30,0.5382862988918432,0.005126259070733946,0.525,0.55
val,train,p90,30,0.6718269920465846,0.013939607771205264,0.6481481481481481,0.6981132075471698
val,train,p95,30,0.7426921473792071,0.01239046372852879,0.7167295597484276,0.7647058823529411
val,train,p99,30,0.8458937945340246,0.011696640447931292,0.8222222222222222,0.8723404255319149
val,train,maximum,30,0.9650336810819027,0.021531149220421056,0.90625,0.9772727272727273
val,train,fraction_ge_0.70,30,0.07870224148726897,0.010085113877366414,0.05951818611242324,0.09947393591582974
val,train,fraction_ge_0.80,30,0.024630714784325197,0.004844176068103933,0.016304347826086956,0.03538976566236251
val,train,fraction_ge_0.90,30,0.0025862362755233763,0.0017971754713704427,0.0004723665564478035,0.006695361071257772
