protein,n_nan,n_nonmissing
1m2z,411,12240
1pbq,0,12651
1xoq,1,12650
2rh1,7,12644
2vt4,15,12636
2ydo,2,12649
2z5x,343,12308
3b66,634,12017
3kk6,10,12641
3ln1,451,12200
3rze,3,12648
4djh,0,12651
4ey7,0,12651
4iar,30,12621
4mqs,3352,9299
4n6h,0,12651
5cxv,62,12589
5i71,9,12642
5tvn,1,12650
5u09,129,12522
5va1,0,12651
6cm4,17,12634
6kpf,223,12428
6kux,8,12643
6lqa,0,12651
6pdj,0,12651
6x3x,29,12622
6y1z,27,12624
7f8y,20,12631
7kwe,2,12649
7ljd,88,12563
7wc9,77,12574
7xnk,0,12651
7ym8,259,12392
8e9y,528,12123
8ef6,0,12651
8fhs,2,12649
8pjk,17,12634
8st0,1007,11644
8wty,24,12627
8xvk,1,12650
8yn3,237,12414
9eo4,133,12518
V1A,0,12651
