model,rank,feature,display_feature,group,mean_abs_shap
Baseline,1,logP,logP,PhysChem,0.11838763097700765
Baseline,2,"MW, g/mol","MW, g/mol",PhysChem,0.09908187898894733
Baseline,3,FP_414,FP_414,Fingerprints,0.059618669099920744
Baseline,4,FP_926,FP_926,Fingerprints,0.026145943946888142
Baseline,5,FP_389,FP_389,Fingerprints,0.021826114483601517
Baseline,6,FP_1911,FP_1911,Fingerprints,0.020844223271922747
Baseline,7,FP_947,FP_947,Fingerprints,0.019991547275012633
Baseline,8,FP_715,FP_715,Fingerprints,0.019803290032063575
Baseline,9,FP_1028,FP_1028,Fingerprints,0.019328214666943674
Baseline,10,FP_80,FP_80,Fingerprints,0.018856640370600062
Baseline,11,4mqs,CHRM2,Proteins,0.018827089526405362
Baseline,12,FP_456,FP_456,Fingerprints,0.018671517145121174
Baseline,13,FP_807,FP_807,Fingerprints,0.01846771658785721
Baseline,14,8fhs,CACNA1C,Proteins,0.0174899944637572
Baseline,15,3ln1,PTGS2,Proteins,0.016567050099534256
Baseline,16,9eo4,SLC6A3,Proteins,0.01618503633936764
Baseline,17,FP_1226,FP_1226,Fingerprints,0.015452722856175327
Baseline,18,FP_426,FP_426,Fingerprints,0.015323278521774085
Baseline,19,FP_650,FP_650,Fingerprints,0.015169286715892356
Baseline,20,8st0,CHRNA1/4,Proteins,0.014986544623291584
Baseline,21,3b66,AR,Proteins,0.014800220694240123
Baseline,22,FP_1737,FP_1737,Fingerprints,0.014248916505237408
Baseline,23,FP_1088,FP_1088,Fingerprints,0.01408321525328408
Baseline,24,FP_881,FP_881,Fingerprints,0.013725462755570857
Baseline,25,5u09,CNR1,Proteins,0.013660563357253413
Baseline,26,5i71,SLC6A4,Proteins,0.013529041586197037
Baseline,27,8xvk,EDNRA,Proteins,0.013282185568993653
Baseline,28,FP_674,FP_674,Fingerprints,0.012884756977188987
Baseline,29,4ey7,ACHE,Proteins,0.012633414355401162
Baseline,30,6cm4,DRD2,Proteins,0.012056166245894298
PCA,1,"MW, g/mol","MW, g/mol",PhysChem,0.14204677768533633
PCA,2,logP,logP,PhysChem,0.12202027685207113
PCA,3,FP_414,FP_414,Fingerprints,0.037626694825334484
PCA,4,FP_926,FP_926,Fingerprints,0.030597448025584662
PCA,5,FP_628,FP_628,Fingerprints,0.02709975758513739
PCA,6,FP_650,FP_650,Fingerprints,0.02342910769326207
PCA,7,PC2,PC2,Proteins,0.02146162529511485
PCA,8,FP_661,FP_661,Fingerprints,0.021081452796421346
PCA,9,FP_715,FP_715,Fingerprints,0.020791591131717215
PCA,10,FP_456,FP_456,Fingerprints,0.02049095538811932
PCA,11,PC1,PC1,Proteins,0.018688943584779915
PCA,12,FP_80,FP_80,Fingerprints,0.018044315427633684
PCA,13,FP_807,FP_807,Fingerprints,0.016839988027876684
PCA,14,FP_389,FP_389,Fingerprints,0.01656460338828533
PCA,15,FP_1911,FP_1911,Fingerprints,0.014765620769054346
PCA,16,FP_1737,FP_1737,Fingerprints,0.014363302706533609
PCA,17,FP_656,FP_656,Fingerprints,0.014339604578717788
PCA,18,FP_1226,FP_1226,Fingerprints,0.014147603179322975
PCA,19,PC3,PC3,Proteins,0.014081548173023923
PCA,20,FP_426,FP_426,Fingerprints,0.013745767969326323
PCA,21,FP_1028,FP_1028,Fingerprints,0.013313428716209705
PCA,22,FP_1599,FP_1599,Fingerprints,0.011710008041358001
PCA,23,FP_674,FP_674,Fingerprints,0.011114608236261371
PCA,24,FP_1917,FP_1917,Fingerprints,0.010332116924420731
PCA,25,FP_1171,FP_1171,Fingerprints,0.00979774958634519
